statusId | label
7|climbing
statusId|sensorName|value|timestamp
7|3-axis Uncalibrated Gyroscope|[0.0085223755,-0.0021305939,0.0021305939,0.009587673,-0.0042611877,0.0031958907]|1525740462622
7|3-axis Gyroscope|[-0.0010652969,0.0021305939,-0.0010652969]|1525740462622
7|Game Rotation Vector|[0.015184596,0.009250874,-0.38256875,0.9237558]|1525740462622
7|Linear Acceleration|[0.051699743,0.024143666,0.0014123917]|1525740462622
7|Gravity|[-0.2815431,0.2056997,9.800449]|1525740462622
7|3-axis Accelerometer|[-0.25378537,0.18674773,9.821015]|1525740462628
7|3-axis Uncalibrated Gyroscope|[0.0085223755,-0.0010652969,0.0042611877,0.009587673,-0.0042611877,0.0031958907]|1525740462628
7|3-axis Gyroscope|[-0.0010652969,0.0031958907,0.0010652969]|1525740462628
7|Game Rotation Vector|[0.015184939,0.009257845,-0.3825661,0.92375684]|1525740462628
7|Linear Acceleration|[0.027886003,-0.018906668,0.020568848]|1525740462628
7|Gravity|[-0.28167138,0.2056544,9.8004465]|1525740462627
7|3-axis Uncalibrated Gyroscope|[0.01065297,0.0,0.0042611877,0.009587673,-0.0042611877,0.0031958907]|1525740462632
7|3-axis Gyroscope|[0.0010652969,0.0042611877,0.0010652969]|1525740462632
7|Game Rotation Vector|[0.015190979,0.009264937,-0.38256356,0.9237577]|1525740462632
7|Linear Acceleration|[0.028059244,-0.01896359,0.02057457]|1525740462632
7|Gravity|[-0.28184462,0.20571132,9.800441]|1525740462632
7|3-axis Accelerometer|[-0.24420857,0.21068975,9.844957]|1525740462637
7|3-axis Uncalibrated Gyroscope|[0.009587673,0.0,0.0031958907,0.009587673,-0.0042611877,0.0031958907]|1525740462638
7|3-axis Gyroscope|[0.0,0.0042611877,0.0]|1525740462638
7|Game Rotation Vector|[0.01519469,0.009273284,-0.3825634,0.92375755]|1525740462638
7|Linear Acceleration|[0.037815064,0.004973799,0.044522285]|1525740462638
7|Gravity|[-0.28202364,0.20571595,9.800435]|1525740462638
7|3-axis Uncalibrated Gyroscope|[0.01065297,0.0,0.0010652969,0.009587673,-0.0042611877,0.0031958907]|1525740462642
7|3-axis Gyroscope|[0.0010652969,0.0042611877,-0.0021305939]|1525740462642
7|Game Rotation Vector|[0.015200585,0.009280311,-0.38256806,0.92375547]|1525740462642
7|Linear Acceleration|[0.03798762,0.004921183,0.044528008]|1525740462642
7|Gravity|[-0.2821962,0.20576857,9.800429]|1525740462642
7|3-axis Accelerometer|[-0.21547815,0.17717093,9.849746]|1525740462647
7|3-axis Uncalibrated Gyroscope|[0.012783563,-0.0021305939,0.0021305939,0.009587673,-0.0042611877,0.0031958907]|1525740462648
7|3-axis Gyroscope|[0.0031958907,0.0021305939,-0.0010652969]|1525740462648
7|Game Rotation Vector|[0.01520992,0.009280552,-0.38257062,0.9237543]|1525740462648
7|Linear Acceleration|[0.066792995,-0.028764114,0.04932213]|1525740462648
7|Gravity|[-0.28227115,0.20593505,9.800424]|1525740462648
7|3-axis Uncalibrated Gyroscope|[0.01065297,-0.0010652969,0.0021305939,0.009587673,-0.0042611877,0.0031958907]|1525740462652
7|3-axis Gyroscope|[0.0010652969,0.0031958907,-0.0010652969]|1525740462652
7|Game Rotation Vector|[0.015214497,0.009284851,-0.38257292,0.9237532]|1525740462652
7|Linear Acceleration|[0.06690571,-0.028814033,0.049326897]|1525740462652
7|Gravity|[-0.28238386,0.20598496,9.800419]|1525740462652
7|3-axis Accelerometer|[-0.24420857,0.16280572,9.816227]|1525740462657
7|3-axis Uncalibrated Gyroscope|[0.01065297,-0.0021305939,0.0021305939,0.009587673,-0.0042611877,0.0031958907]|1525740462657
7|3-axis Gyroscope|[0.0010652969,0.0021305939,-0.0010652969]|1525740462657
7|Game Rotation Vector|[0.015213649,0.009282959,-0.38257292,0.92375326]|1525740462658
7|Linear Acceleration|[0.038134634,-0.043178096,0.015806198]|1525740462658
7|Gravity|[-0.2823432,0.20598382,9.800421]|1525740462658
7|3-axis Uncalibrated Gyroscope|[0.01065297,-0.0021305939,0.0021305939,0.009587673,-0.0042611877,0.0031958907]|1525740462662
7|3-axis Gyroscope|[0.0010652969,0.0021305939,-0.0010652969]|1525740462662
7|Game Rotation Vector|[0.015212684,0.009281053,-0.38257292,0.9237533]|1525740462662
7|Linear Acceleration|[0.03809288,-0.043174922,0.015805244]|1525740462662
7|Gravity|[-0.28230146,0.20598064,9.800422]|1525740462662
7|3-axis Accelerometer|[-0.22026655,0.15322891,9.844957]|1525740462667
7|3-axis Uncalibrated Gyroscope|[0.0085223755,-0.0010652969,0.0010652969,0.009587673,-0.0042611877,0.0031958907]|1525740462667
7|3-axis Gyroscope|[-0.0010652969,0.0031958907,-0.0021305939]|1525740462667
7|Game Rotation Vector|[0.015212115,0.009287786,-0.3825778,0.9237513]|1525740462668
7|Linear Acceleration|[0.062153667,-0.052689373,0.044537544]|1525740462668
7|Gravity|[-0.28242022,0.20591828,9.80042]|1525740462668
7|3-axis Uncalibrated Gyroscope|[0.0074570784,-0.0010652969,0.0021305939,0.009587673,-0.0042611877,0.0031958907]|1525740462672
7|3-axis Gyroscope|[-0.0021305939,0.0031958907,-0.0010652969]|1525740462672
7|Game Rotation Vector|[0.015209054,0.009294626,-0.38257992,0.9237504]|1525740462672
7|Linear Acceleration|[0.062255085,-0.052581966,0.044538498]|1525740462672
