statusId | label
8|climbing
statusId|sensorName|value|timestamp
8|Gravity|[-2.9153354,8.171668,-4.5711107]|1525758733565
8|3-axis Uncalibrated Gyroscope|[0.21838588,-0.26845482,0.23116943,0.009587673,-0.0031958907,0.0021305939]|1525758733570
8|3-axis Gyroscope|[0.2087982,-0.26525894,0.22903883]|1525758733570
8|Game Rotation Vector|[0.28576866,0.80644375,0.40200028,0.3261602]|1525758733570
8|Linear Acceleration|[2.0246596,0.78214645,8.1371]|1525758733571
8|Gravity|[-2.905726,8.186533,-4.550586]|1525758733570
8|3-axis Accelerometer|[-0.7182605,9.030929,3.5673606]|1525758733575
8|3-axis Uncalibrated Gyroscope|[0.23330003,-0.26099774,0.24075711,0.009587673,-0.0031958907,0.0021305939]|1525758733575
8|3-axis Gyroscope|[0.22371235,-0.25780186,0.23862651]|1525758733576
8|Game Rotation Vector|[0.28632957,0.80561584,0.40299124,0.32649133]|1525758733576
8|Linear Acceleration|[2.1774137,0.8298187,8.0980625]|1525758733575
8|Gravity|[-2.8956742,8.20111,-4.5307016]|1525758733575
8|3-axis Uncalibrated Gyroscope|[0.25460598,-0.25886714,0.25780186,0.009587673,-0.0031958907,0.0021305939]|1525758733580
8|3-axis Gyroscope|[0.24501829,-0.25567126,0.25567126]|1525758733580
8|Game Rotation Vector|[0.28692442,0.80480236,0.40395495,0.32678434]|1525758733580
8|Linear Acceleration|[2.1667044,0.81557846,8.079055]|1525758733580
8|Gravity|[-2.884965,8.21535,-4.511694]|1525758733580
8|3-axis Accelerometer|[-0.6799533,8.959103,3.3758245]|1525758733585
8|3-axis Uncalibrated Gyroscope|[0.2801731,-0.25141007,0.27165073,0.009587673,-0.0031958907,0.0021305939]|1525758733585
8|3-axis Gyroscope|[0.27058542,-0.24821419,0.26952013]|1525758733585
8|Game Rotation Vector|[0.2876033,0.80400616,0.4048558,0.32703242]|1525758733586
8|Linear Acceleration|[2.1933606,0.7301035,7.870047]|1525758733585
8|Gravity|[-2.873314,8.228999,-4.4942226]|1525758733585
8|3-axis Uncalibrated Gyroscope|[0.30360964,-0.22371235,0.26845482,0.009587673,-0.0031958907,0.0021305939]|1525758733590
8|3-axis Gyroscope|[0.29402196,-0.22051647,0.26632422]|1525758733590
8|Game Rotation Vector|[0.28825605,0.8032613,0.40572533,0.32721055]|1525758733591
8|Linear Acceleration|[2.1812894,0.71712685,7.8539376]|1525758733590
8|Gravity|[-2.8612428,8.241976,-4.478113]|1525758733590
8|3-axis Accelerometer|[-0.7613561,8.796297,3.2369606]|1525758733595
8|3-axis Uncalibrated Gyroscope|[0.32278496,-0.18216577,0.24821419,0.009587673,-0.0031958907,0.0021305939]|1525758733595
8|3-axis Gyroscope|[0.31319728,-0.17896989,0.24608359]|1525758733595
8|Game Rotation Vector|[0.28884158,0.8025854,0.40656337,0.32731223]|1525758733595
8|Linear Acceleration|[2.087743,0.5421715,7.7004166]|1525758733595
8|Gravity|[-2.8490992,8.254126,-4.4634557]|1525758733595
8|3-axis Uncalibrated Gyroscope|[0.33024204,-0.15659864,0.22797355,0.009587673,-0.0031958907,0.0021305939]|1525758733600
8|3-axis Gyroscope|[0.3206544,-0.15340276,0.22584295]|1525758733600
8|Game Rotation Vector|[0.28936568,0.801954,0.40738294,0.32737827]|1525758733600
8|Linear Acceleration|[2.0758975,0.53057766,7.6864853]|1525758733600
8|Gravity|[-2.8372536,8.265719,-4.449525]|1525758733600
8|3-axis Accelerometer|[-0.94331545,8.508993,3.1747115]|1525758733605
8|3-axis Uncalibrated Gyroscope|[0.33343795,-0.119313255,0.18536167,0.009587673,-0.0031958907,0.0021305939]|1525758733605
8|3-axis Gyroscope|[0.32385027,-0.116117366,0.18323107]|1525758733605
8|Game Rotation Vector|[0.289788,0.80139023,0.40816835,0.32740694]|1525758733605
8|Linear Acceleration|[1.8829303,0.23255825,7.611305]|1525758733605
8|Gravity|[-2.8262458,8.276435,-4.4365935]|1525758733605
8|3-axis Uncalibrated Gyroscope|[0.33024204,-0.08735435,0.12677033,0.009587673,-0.0031958907,0.0021305939]|1525758733611
8|3-axis Gyroscope|[0.3206544,-0.08415846,0.12463974]|1525758733610
8|Game Rotation Vector|[0.29006281,0.80089563,0.40892297,0.32743207]|1525758733610
8|Linear Acceleration|[1.8736558,0.22275639,7.5988884]|1525758733610
8|Gravity|[-2.8169713,8.286237,-4.424177]|1525758733610
8|3-axis Accelerometer|[-1.2306197,8.1402855,3.0933087]|1525758733615
8|3-axis Uncalibrated Gyroscope|[0.32278496,-0.05113425,0.045807768,0.009587673,-0.0031958907,0.0021305939]|1525758733615
8|3-axis Gyroscope|[0.31319728,-0.04793836,0.043677174]|1525758733615
8|Game Rotation Vector|[0.29009262,0.80046135,0.40970457,0.3274906]|1525758733614
8|Linear Acceleration|[1.5797951,-0.15526295,7.504184]|1525758733615
8|Gravity|[-2.8104148,8.295548,-4.4108753]|1525758733615
8|3-axis Uncalibrated Gyroscope|[0.3185238,-0.0031958907,-0.044742472,0.009587673,-0.0031958907,0.0021305939]|1525758733620
8|3-axis Gyroscope|[0.30893612,0.0,-0.046873067]|1525758733619
